Tumor_wgs_aliquot_id	tumor_rna_seq_star_alignment_bam_file_name
9032b7fe-e38a-4641-a45e-67041668adc4	1763262a-1ceb-4ed5-a589-36968e96b1e1
418e916b-7a4e-4fab-8616-15dcec4d79f8	3d52f17e-52ec-4f9f-adf7-80bc5c4f9cdd
418e916b-7a4e-4fab-8616-15dcec4d79f8	289d70be-aa36-438f-83be-6f8e29b44981
9ddf2119-a222-4fa5-a9f3-0bec7eeea36b	3db3d88b-e7a1-4024-a8a1-07e26d3d68f3
fe04d042-a4cc-4a14-8197-415ea40951aa	f2be2f3f-43d5-435e-bd15-6056657c2205
27f87d1e-2c32-4beb-9677-62f7a286673d	c7c70aca-370d-44ed-9610-3641b76fa5c2
f8f749b7-547d-49fa-9da2-44eed962b6fd	3cd9dc35-1d71-4646-904e-e90f20e82cb3
73936e8b-c893-4afd-bd1f-be90c06a4869	f48cd28b-368e-4de6-b051-1a48381b9866
25e4cad7-2403-4992-9cbc-433574673549	a85abe50-4a7b-4c06-a593-ae4264d93bc0
db45d81f-695c-4f99-beea-6dbec1ff47fc	7539d2b0-ebe2-47c8-ba59-4d19bd6cd6f5
467ef778-f481-44f3-9768-b9900252d2ba	b5ce745f-ca69-4c5d-b5e5-29471efd7c42
7b08e810-f3c9-4155-ac11-f45a3a4f8b41	01ece777-02ae-4657-b295-1943959f5e1e
5dbf3203-ce73-41e4-bf9a-32fc856f73f5	8e3c0a5a-692d-4e52-863c-ab2a043483ad
6c65cb6d-8c50-4c7c-bc84-eeebe09fbe01	b54dd3aa-2b15-436e-8bb6-65ab65ea7608
47b5d831-5287-4f62-b17a-6e5eff2e4184	c2cbdca9-aa60-42b6-bacf-2a75edc63a23
8691c87f-2468-44bb-a670-3dccd6da33c6	1b2113a6-d237-4316-9705-1c7edf76b0f4
d8c6d4b8-f279-4edc-aaa3-a1cc266aec4d	b9570238-8066-4991-b1a3-097d199b3af0
110b5f05-ded7-45ec-b0f6-a941c92d77dd	d0e6ec46-3ba5-4af6-8cde-542b5ad79913
aa58c09a-7799-4675-8310-d270224b163e	d55649ed-2634-47d9-8480-51ef964a5743
987528ac-437a-4eb8-a335-4f2076d5c006	60fc2539-920e-40b1-a728-afac289cbd24
13c312ec-0add-4758-ab8d-c193e2e08c6d	d6ee7330-3522-4d1f-b493-d36b50fb5f95
5b7d5767-2037-4175-aec9-886776343181	dbe34b62-3b12-401a-9908-7ffc7d18ab41
b752b444-f033-4be4-9d24-e5e80b4181af	b2f5a279-accc-4241-968e-476465ee3156
5a535c49-d42e-43c6-9d32-dc76f28d4f0f	5d268178-b1a6-4a70-ad04-0168a1d46206
84c77098-03d0-4b22-afb1-797703e85c6c	59931f65-ec17-4e0c-8d67-58a44f81c83b
4d409156-3a36-4c63-9ad6-b6af34f27b06	446f44f9-f00f-4a79-96c4-23ebc2734165
ddc7377d-82c3-480a-be3c-3d1da52c77d4	95d7ed06-ab94-4920-b447-100335a5491d
a85cf239-ff51-46e7-9b88-4c2cb49c66b9	47f36832-d3d3-4aa1-be69-dfea27808e6b
207f8a42-5b05-4876-b0ae-ebfaeea27844	edb8e13c-b10e-4a43-afd7-6c70c86b6c3f
ea43434b-197e-48ac-ae2e-46bc7f3776de	ea0add07-2cd7-4230-a37d-c621bec85b17
01658141-8398-4585-9f0f-8355dd9b0604	cd7b3747-0703-455f-9cb6-b02b9bf8ab00
7456abd5-303e-4e6f-bf4e-47efefc7310f	d805f85f-6142-40df-8280-9fc07ddc8cb5
f6114c69-71a1-47d5-9b28-b0227b1872f7	14502ddf-7933-4be1-9a9b-32fd132f328e
0448206f-3ade-4087-b1a9-4fb2d14e1367	a28417d7-5915-4fd9-8c1d-3decff6f02aa
74b57d2c-a83f-4798-b86b-a533975e4cc0	c6f65c79-8d8b-4784-be80-64a69b4cc000
f69e5057-eda6-4391-ba9a-aedbf6b572da	6e261d64-c20a-4d81-a37e-43338123ef8c
6e839eaf-1dbb-43f5-8846-c980e05540c7	fe7cbe2d-2e22-4ca4-aa8b-e1ae81d90ffe
7cdbe0e8-f614-4f54-b864-fd6b39e8ef1c	06e17625-2cf7-4ba5-b47d-5fb1091a3c61
2da2b745-068d-408c-9163-3b3a78d4aaed	cfcd7bb7-a9dd-4279-bce7-ef9cb4f8173a
3585e133-b3c1-4d90-b5f2-2b867e0ae0ec	9d5dfd9b-2725-4153-9de4-a274d3306493
1c0e384f-7254-4afe-93c0-b3fc6c6a7894	e4049f73-e7f7-4321-9df9-b0e8dbbabe9f
e7dc7492-3a84-49c7-8dea-8f508b53dc40	61580f5a-5938-437d-910b-04541720bc31
